year,win_0,win_1,margin
1946.0,0.0,0.0,-0.06148815
1948.0,1.0,1.0,0.104869485
1950.0,1.0,0.0,0.16446409
1952.0,1.0,1.0,0.07936081
1954.0,1.0,0.0,0.1392521
1956.0,0.0,0.0,-0.07360193
1958.0,1.0,1.0,0.08682153
1960.0,1.0,1.0,0.16916025
1962.0,1.0,1.0,0.15559244
1964.0,1.0,1.0,0.39935827
1966.0,1.0,1.0,0.16807723
1968.0,1.0,0.0,0.25156257
1970.0,1.0,1.0,0.0064237714
1972.0,1.0,1.0,0.1502741
1974.0,1.0,1.0,0.26750273
1976.0,1.0,1.0,0.15275466
1978.0,1.0,1.0,0.20239127
1980.0,1.0,0.0,0.2608236
1982.0,1.0,1.0,0.36926013
1984.0,1.0,1.0,0.2378197
1986.0,1.0,1.0,0.48799968
1988.0,1.0,1.0,0.5448855
1990.0,1.0,1.0,0.42805886
1992.0,1.0,1.0,0.36517063
1994.0,1.0,1.0,0.4858052
1996.0,1.0,0.0,0.48599952
1946.0,0.0,1.0,-0.10583711
1948.0,1.0,0.0,0.0329448
1950.0,0.0,0.0,-0.016441196
1952.0,0.0,0.0,-0.10971013
1954.0,0.0,0.0,-0.013780028
1956.0,0.0,0.0,-0.18098274
1958.0,1.0,0.0,0.06578198
1960.0,0.0,1.0,-0.0024321973
1962.0,1.0,0.0,0.016044974
1964.0,1.0,0.0,0.26531625
1966.0,1.0,0.0,0.13008046
1968.0,1.0,0.0,0.08705807
1970.0,0.0,0.0,-0.06512639
1972.0,0.0,0.0,-0.31877455
1974.0,1.0,1.0,0.19812366
1976.0,1.0,1.0,0.30983108
1978.0,1.0,0.0,0.39844477
1980.0,1.0,1.0,0.06748834
1982.0,1.0,1.0,0.12271446
1984.0,1.0,1.0,0.09196371
1986.0,1.0,1.0,0.3476909
1988.0,1.0,1.0,0.2723633
1990.0,1.0,1.0,0.19410026
1992.0,1.0,1.0,0.01596573
1994.0,1.0,1.0,0.000112861395
1996.0,1.0,1.0,0.066486865
1946.0,0.0,0.0,-0.17721009
1948.0,1.0,0.0,0.0067006648
1950.0,1.0,0.0,0.041162103
1952.0,0.0,0.0,-0.055173784
1954.0,0.0,0.0,-0.053275347
1956.0,0.0,1.0,-0.19999242
1958.0,1.0,1.0,0.12445116
1960.0,1.0,1.0,0.0982109
1962.0,1.0,1.0,0.1204271
1964.0,1.0,1.0,0.2779323
1966.0,1.0,1.0,0.116078675
1968.0,1.0,1.0,0.11542991
1970.0,1.0,1.0,0.122300625
1972.0,1.0,1.0,0.06550348
1974.0,1.0,1.0,0.3369878
1976.0,1.0,1.0,0.11188874
1978.0,1.0,0.0,0.18111685
1980.0,0.0,0.0,-0.05867073
1982.0,1.0,1.0,0.009297371
1984.0,1.0,1.0,0.054073513
1986.0,1.0,1.0,0.3929133
1988.0,1.0,0.0,0.32985666
1990.0,1.0,1.0,0.04208663
1992.0,1.0,1.0,0.31357467
1994.0,1.0,1.0,0.26898006
1996.0,1.0,1.0,0.43275195
1946.0,0.0,0.0,-0.21748826
1948.0,0.0,0.0,-0.11762807
1950.0,0.0,0.0,-0.11028755
1952.0,0.0,0.0,-0.20718631
1954.0,0.0,0.0,-0.14833525
1956.0,0.0,0.0,-0.37233794
1958.0,1.0,0.0,0.01811102
1960.0,0.0,0.0,-0.033361137
1962.0,0.0,0.0,-0.04013619
1964.0,1.0,1.0,0.036212653
1966.0,1.0,0.0,0.019154072
1968.0,0.0,0.0,-0.04079181
1970.0,0.0,0.0,-0.13971865
